25,11,58,92,69,89,61,38,99,90,85,28,55,49,22,29,63,91,51,21,12,5,39,62,2,78,73,65,17,23,3,66,16,56,52,67,88,33,96,84,64,68,13,32,87,19,45,71,75,20,36,8,79,43,77,42,41,37,74,7,80,53,14,57,70,72,31,50,30,4,27,97,95,82,81,10,18,47,59,26
9,84,15,42,46,91,33,92,16,44,100,94,47,66,43,82,1,2,3,73,55,28,7,6,10,58,45,21,38,76,12,53,89,13,31,98,69,81,78,95,5,65,35,25,70,75,49,30,90,97,54,17,71,11,20,79,48,37,61,27,93,60,19,67,36,99,51,74,62,41,14,39,32,63,85,68,88,22,24,59
80,54,84,51,71,15,36,50,39,47,86,42,49,72,64,59,6,37,7,52,20,62,91,31,17,77,27,26,81,18,60,45,41,34,35,30,38,9,57,70,43,11,33,96,92,53,58,3,66,74,32,98,82,8,88,55,5,1,90,4,63,67,56,48,19,76,65,73,89,21,16,13,29,83,68,69,14,87,10,85
43,23,30,73,36,69,11,70,64,98,19,8,40,33,41,85,100,68,7,34,18,65,21,28,38,22,42,5,71,72,3,57,83,53,75,31,17,4,99,10,58,88,47,77,97,90,6,89,37,62,35,78,2,24,91,12,81,15,1,87,20,56,86,80,45,82,14,39,60,29,44,26,63,93,51,66,95,54,25,49
84,24,76,75,97,78,98,54,60,93,68,41,30,8,61,48,69,5,74,83,88,56,3,1,91,37,38,31,4,49,15,23,11,81,59,86,94,6,21,89,39,18,7,43,85,77,10,34,87,13,16,19,82,62,92,40,36,64,65,51,70,96,20,32,46,66,53,29,79,26,55,58,9,14,35,100,52,90,2,47
43,79,100,55,42,48,7,91,63,28,39,97,5,93,3,58,30,72,29,38,74,80,76,41,46,24,16,78,75,22,34,85,4,90,67,9,65,14,44,96,47,1,99,69,18,49,10,77,15,73,94,45,88,86,21,2,35,64,13,53,71,6,17,20,25,82,68,36,59,66,31,32,57,89,50,54,11,51,37,23
60,40,66,58,29,82,8,25,87,50,49,65,17,42,20,35,14,77,97,69,95,48,34,53,47,7,18,93,86,45,46,78,67,38,30,2,96,72,76,5,32,15,52,75,36,31,43,21,4,89,88,13,6,3,94,61,92,12,24,85,90,79,80,16,84,98,64,11,23,41,9,54,62,37,100,39,81,33,83,70
59,7,75,74,78,67,65,40,64,90,94,61,9,63,52,23,15,19,31,70,50,42,98,4,2,21,91,46,10,86,55,56,49,16,34,81,6,39,87,27,72,53,95,24,76,89,71,84,38,43,26,22,88,62,17,77,41,93,36,5,3,45,48,11,44,28,60,57,8,80,100,20,96,1,30,54,29,69,47,99
13,99,56,3,28,8,100,60,4,48,41,26,21,58,49,76,30,97,40,18,38,50,84,71,36,59,69,34,81,95,54,91,89,42,33,96,17,85,86,46,11,37,61,5,22,83,73,70,35,9,64,88,94,57,75,90,2,44,51,55,16,82,67,14,23,72,79,25,47,92,80,45,6,27,52,87,78,68,12,32
89,77,6,1,41,48,12,98,45,52,84,65,66,39,44,99,53,23,27,73,80,92,69,24,42,88,75,33,43,32,29,26,64,8,70,82,30,62,18,97,11,38,40,95,36,4,21,55,67,96,90,72,28,49,3,63,54,93,15,56,19,59,79,86,81,13,47,34,22,9,5,87,37,20,10,78,2,91,46,83
