26,73,7,68,8,6,45,34,93,100,96,55,72,50,5,11,28,57,12,33,94,17,10,71,40,87,70,62,42,46,61,20,66,83,31,2,64,32,90,29,44,23,52,99,53,95,37,91,84,65,35,47,80,3,69,41,14,56,54,59,19,39,88,97,86,98,51,79,16,4,21,38,60,74,18,89,85,77,49,58
97,24,30,2,75,63,29,6,18,100,92,32,12,22,87,91,94,21,41,14,49,40,80,58,27,78,57,5,74,71,86,82,8,85,11,90,89,10,98,62,48,61,37,79,34,45,70,95,19,93,47,44,99,77,42,31,88,65,46,13,83,28,59,39,81,43,60,38,53,17,35,52,7,51,15,56,25,3,4,96
8,48,40,86,98,9,81,83,55,47,51,38,74,46,11,97,29,14,7,78,90,94,34,22,49,37,92,44,71,35,45,63,85,95,67,100,10,58,88,60,82,2,91,23,80,53,62,61,77,15,42,18,5,32,24,27,26,30,20,50,87,76,3,75,66,59,54,96,39,93,12,43,31,64,19,57,21,56,89,36
62,99,98,70,46,65,72,31,53,29,5,51,66,91,47,77,40,20,41,86,18,81,8,25,84,3,22,24,74,61,14,16,79,21,17,34,30,78,88,59,1,82,69,68,49,57,45,63,76,43,83,6,90,2,13,15,87,26,85,58,44,93,67,80,37,54,38,7,97,52,71,92,23,55,12,36,100,4,60,27
1,4,42,61,98,44,99,18,50,49,40,37,29,55,13,22,76,31,74,14,65,19,23,59,45,94,83,58,71,91,34,26,8,2,92,47,15,95,57,89,12,67,38,100,96,90,82,5,25,79,20,69,21,9,11,84,78,46,6,36,81,16,48,32,88,72,28,93,52,33,77,80,54,56,30,66,87,64,41,68
94,69,40,98,71,51,76,8,89,48,58,87,33,5,32,57,77,55,49,82,99,6,41,60,29,90,79,70,10,38,14,52,27,13,9,66,53,97,35,78,64,34,92,19,44,21,95,65,31,46,23,26,12,83,25,43,80,62,37,28,18,2,16,86,56,39,30,45,93,61,4,50,73,75,7,20,1,74,72,96
1,22,81,85,7,46,97,18,52,100,98,88,66,48,44,40,23,37,39,72,58,12,95,9,55,90,41,76,70,10,61,68,84,30,17,32,50,13,79,87,53,63,69,83,35,19,86,77,11,59,56,14,27,94,64,73,80,6,49,3,92,47,71,74,89,8,96,20,60,99,36,78,31,45,24,16,91,57,4,42
1,2,54,24,56,85,46,17,62,60,19,61,74,75,34,20,55,35,43,22,18,63,73,5,4,92,57,91,94,67,16,90,87,77,28,81,95,99,13,83,7,64,27,37,84,69,89,68,38,71,33,49,15,39,88,30,32,44,86,23,78,82,31,9,11,76,72,65,98,6,97,36,96,41,8,47,10,40,70,79
7,66,91,80,63,25,40,51,16,86,5,59,73,18,11,84,96,55,4,8,62,57,19,12,74,30,31,89,77,27,26,2,39,14,22,49,44,97,54,90,60,3,65,64,70,58,36,69,79,95,45,68,10,81,41,50,53,42,28,76,13,75,9,32,23,29,88,20,72,33,17,47,35,94,82,56,83,24,1,98
29,48,90,87,8,100,23,1,93,60,22,41,86,76,24,33,35,27,51,71,19,75,78,30,80,14,32,57,28,49,66,89,21,59,26,82,44,72,53,25,31,45,83,36,56,58,79,50,39,61,15,99,34,18,84,12,2,65,92,88,42,6,94,17,74,64,77,4,20,47,40,85,62,98,16,3,52,68,96,81
